GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Europe,30 May 2004,Michael Schumacher,FERRARI,60,1:32:35.101,2004
Canada,13 Jun 2004,Michael Schumacher,FERRARI,70,1:28:24.803,2004
United States,20 Jun 2004,Michael Schumacher,FERRARI,73,1:40:29.914,2004
France,04 Jul 2004,Michael Schumacher,FERRARI,70,1:30:18.133,2004
Great Britain,11 Jul 2004,Michael Schumacher,FERRARI,60,1:24:42.700,2004
Germany,25 Jul 2004,Michael Schumacher,FERRARI,66,1:23:54.848,2004
Hungary,15 Aug 2004,Michael Schumacher,FERRARI,70,1:35:26.131,2004
Belgium,29 Aug 2004,Kimi Räikkönen,MCLAREN MERCEDES,44,1:32:35.274,2004
Italy,12 Sep 2004,Rubens Barrichello,FERRARI,53,1:15:18.448,2004
China,26 Sep 2004,Rubens Barrichello,FERRARI,56,1:29:12.420,2004
Japan,10 Oct 2004,Michael Schumacher,FERRARI,53,1:24:26.985,2004
Brazil,24 Oct 2004,Juan Pablo Montoya,WILLIAMS BMW,71,1:28:01.451,2004
Australia,06 Mar 2005,Giancarlo Fisichella,RENAULT,57,1:24:17.336,2005
Malaysia,20 Mar 2005,Fernando Alonso,RENAULT,56,1:31:33.736,2005
Bahrain,03 Apr 2005,Fernando Alonso,RENAULT,57,1:29:18.531,2005
San Marino,24 Apr 2005,Fernando Alonso,RENAULT,62,1:27:41.921,2005
Spain,08 May 2005,Kimi Räikkönen,MCLAREN MERCEDES,66,1:27:16.830,2005
Monaco,22 May 2005,Kimi Räikkönen,MCLAREN MERCEDES,78,1:45:15.556,2005
Europe,29 May 2005,Fernando Alonso,RENAULT,59,1:31:46.648,2005
Canada,12 Jun 2005,Kimi Räikkönen,MCLAREN MERCEDES,70,1:32:09.290,2005
United States,19 Jun 2005,Michael Schumacher,FERRARI,73,1:29:43.181,2005
France,03 Jul 2005,Fernando Alonso,RENAULT,70,1:31:22.233,2005
Great Britain,10 Jul 2005,Juan Pablo Montoya,MCLAREN MERCEDES,60,1:24:29.588,2005
Germany,24 Jul 2005,Fernando Alonso,RENAULT,67,1:26:28.599,2005
Hungary,31 Jul 2005,Kimi Räikkönen,MCLAREN MERCEDES,70,1:37:25.552,2005
Turkey,21 Aug 2005,Kimi Räikkönen,MCLAREN MERCEDES,58,1:24:34.454,2005
Italy,04 Sep 2005,Juan Pablo Montoya,MCLAREN MERCEDES,53,1:14:28.659,2005
Belgium,11 Sep 2005,Kimi Räikkönen,MCLAREN MERCEDES,44,1:30:01.295,2005
Brazil,25 Sep 2005,Juan Pablo Montoya,MCLAREN MERCEDES,71,1:29:20.574,2005
Japan,09 Oct 2005,Kimi Räikkönen,MCLAREN MERCEDES,53,1:29:02.212,2005
China,16 Oct 2005,Fernando Alonso,RENAULT,56,1:39:53.618,2005
Bahrain,12 Mar 2006,Fernando Alonso,RENAULT,57,1:29:46.205,2006
Malaysia,19 Mar 2006,Giancarlo Fisichella,RENAULT,56,1:30:40.529,2006
Australia,02 Apr 2006,Fernando Alonso,RENAULT,57,1:34:27.870,2006
San Marino,23 Apr 2006,Michael Schumacher,FERRARI,62,1:31:06.486,2006
Europe,07 May 2006,Michael Schumacher,FERRARI,60,1:35:58.765,2006
Spain,14 May 2006,Fernando Alonso,RENAULT,66,1:26:21.759,2006
Monaco,28 May 2006,Fernando Alonso,RENAULT,78,1:43:43.116,2006
Great Britain,11 Jun 2006,Fernando Alonso,RENAULT,60,1:25:51.927,2006
Canada,25 Jun 2006,Fernando Alonso,RENAULT,70,1:34:37.308,2006
United States,02 Jul 2006,Michael Schumacher,FERRARI,73,1:34:35.199,2006
France,16 Jul 2006,Michael Schumacher,FERRARI,70,1:32:07.803,2006
Germany,30 Jul 2006,Michael Schumacher,FERRARI,67,1:27:51.693,2006
Hungary,06 Aug 2006,Jenson Button,HONDA,70,1:52:20.941,2006
Turkey,27 Aug 2006,Felipe Massa,FERRARI,58,1:28:51.082,2006
Italy,10 Sep 2006,Michael Schumacher,FERRARI,53,1:14:51.975,2006
China,01 Oct 2006,Michael Schumacher,FERRARI,56,1:37:32.747,2006
Japan,08 Oct 2006,Fernando Alonso,RENAULT,53,1:23:53.413,2006
Brazil,22 Oct 2006,Felipe Massa,FERRARI,71,1:31:53.751,2006
Australia,18 Mar 2007,Kimi Räikkönen,FERRARI,58,1:25:28.770,2007
Malaysia,08 Apr 2007,Fernando Alonso,MCLAREN MERCEDES,56,1:32:14.930,2007
Bahrain,15 Apr 2007,Felipe Massa,FERRARI,57,1:33:27.515,2007
Spain,13 May 2007,Felipe Massa,FERRARI,65,1:31:36.230,2007
Monaco,27 May 2007,Fernando Alonso,MCLAREN MERCEDES,78,1:40:29.329,2007
Canada,10 Jun 2007,Lewis Hamilton,MCLAREN MERCEDES,70,1:44:11.292,2007
United States,17 Jun 2007,Lewis Hamilton,MCLAREN MERCEDES,73,1:31:09.965,2007
France,01 Jul 2007,Kimi Räikkönen,FERRARI,70,1:30:54.200,2007
Great Britain,08 Jul 2007,Kimi Räikkönen,FERRARI,59,1:21:43.074,2007
Europe,22 Jul 2007,Fernando Alonso,MCLAREN MERCEDES,60,2:06:26.358,2007
Hungary,05 Aug 2007,Lewis Hamilton,MCLAREN MERCEDES,70,1:35:52.991,2007
Turkey,26 Aug 2007,Felipe Massa,FERRARI,58,1:26:42.161,2007
Italy,09 Sep 2007,Fernando Alonso,MCLAREN MERCEDES,53,1:18:37.806,2007
Belgium,16 Sep 2007,Kimi Räikkönen,FERRARI,44,1:20:39.066,2007
Japan,30 Sep 2007,Lewis Hamilton,MCLAREN MERCEDES,67,2:00:34.579,2007
China,07 Oct 2007,Kimi Räikkönen,FERRARI,56,1:37:58.395,2007
Brazil,21 Oct 2007,Kimi Räikkönen,FERRARI,71,1:28:15.270,2007
Australia,16 Mar 2008,Lewis Hamilton,MCLAREN MERCEDES,58,1:34:50.616,2008
Malaysia,23 Mar 2008,Kimi Räikkönen,FERRARI,56,1:31:18.555,2008
Bahrain,06 Apr 2008,Felipe Massa,FERRARI,57,1:31:06.970,2008
Spain,27 Apr 2008,Kimi Räikkönen,FERRARI,66,1:38:19.051,2008
Turkey,11 May 2008,Felipe Massa,FERRARI,58,1:26:49.451,2008
Monaco,25 May 2008,Lewis Hamilton,MCLAREN MERCEDES,76,2:00:42.742,2008
Canada,08 Jun 2008,Robert Kubica,SAUBER BMW,70,1:36:24.447,2008
France,22 Jun 2008,Felipe Massa,FERRARI,70,1:31:50.245,2008
Great Britain,06 Jul 2008,Lewis Hamilton,MCLAREN MERCEDES,60,1:39:09.440,2008
Germany,20 Jul 2008,Lewis Hamilton,MCLAREN MERCEDES,67,1:31:20.874,2008
Hungary,03 Aug 2008,Heikki Kovalainen,MCLAREN MERCEDES,70,1:37:27.067,2008
Europe,24 Aug 2008,Felipe Massa,FERRARI,57,1:35:32.339,2008
Belgium,07 Sep 2008,Felipe Massa,FERRARI,44,1:22:59.394,2008
