GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Singapore,18 Sep 2016,Nico Rosberg,MERCEDES,61,1:55:48.950,2016
Malaysia,02 Oct 2016,Daniel Ricciardo,RED BULL RACING TAG HEUER,56,1:37:12.776,2016
Japan,09 Oct 2016,Nico Rosberg,MERCEDES,53,1:26:43.333,2016
United States,23 Oct 2016,Lewis Hamilton,MERCEDES,56,1:38:12.618,2016
Mexico,30 Oct 2016,Lewis Hamilton,MERCEDES,71,1:40:31.402,2016
Brazil,13 Nov 2016,Lewis Hamilton,MERCEDES,71,3:01:01.335,2016
Abu Dhabi,27 Nov 2016,Lewis Hamilton,MERCEDES,55,1:38:04.013,2016
Australia,26 Mar 2017,Sebastian Vettel,FERRARI,57,1:24:11.672,2017
China,09 Apr 2017,Lewis Hamilton,MERCEDES,56,1:37:36.158,2017
Bahrain,16 Apr 2017,Sebastian Vettel,FERRARI,57,1:33:53.374,2017
Russia,30 Apr 2017,Valtteri Bottas,MERCEDES,52,1:28:08.743,2017
Spain,14 May 2017,Lewis Hamilton,MERCEDES,66,1:35:56.497,2017
Monaco,28 May 2017,Sebastian Vettel,FERRARI,78,1:44:44.340,2017
Canada,11 Jun 2017,Lewis Hamilton,MERCEDES,70,1:33:05.154,2017
Azerbaijan,25 Jun 2017,Daniel Ricciardo,RED BULL RACING TAG HEUER,51,2:03:55.573,2017
Austria,09 Jul 2017,Valtteri Bottas,MERCEDES,71,1:21:48.523,2017
Great Britain,16 Jul 2017,Lewis Hamilton,MERCEDES,51,1:21:27.430,2017
Hungary,30 Jul 2017,Sebastian Vettel,FERRARI,70,1:39:46.713,2017
Belgium,27 Aug 2017,Lewis Hamilton,MERCEDES,44,1:24:42.820,2017
Italy,03 Sep 2017,Lewis Hamilton,MERCEDES,53,1:15:32.312,2017
Singapore,17 Sep 2017,Lewis Hamilton,MERCEDES,58,2:03:23.544,2017
Malaysia,01 Oct 2017,Max Verstappen,RED BULL RACING TAG HEUER,56,1:30:01.290,2017
Japan,08 Oct 2017,Lewis Hamilton,MERCEDES,53,1:27:31.194,2017
United States,22 Oct 2017,Lewis Hamilton,MERCEDES,56,1:33:50.991,2017
Mexico,29 Oct 2017,Max Verstappen,RED BULL RACING TAG HEUER,71,1:36:26.552,2017
Brazil,12 Nov 2017,Sebastian Vettel,FERRARI,71,1:31:26.262,2017
Abu Dhabi,26 Nov 2017,Valtteri Bottas,MERCEDES,55,1:34:14.062,2017
Australia,25 Mar 2018,Sebastian Vettel,FERRARI,58,1:29:33.283,2018
Bahrain,08 Apr 2018,Sebastian Vettel,FERRARI,57,1:32:01.940,2018
China,15 Apr 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,56,1:35:36.380,2018
Azerbaijan,29 Apr 2018,Lewis Hamilton,MERCEDES,51,1:43:44.291,2018
Spain,13 May 2018,Lewis Hamilton,MERCEDES,66,1:35:29.972,2018
Monaco,27 May 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,78,1:42:54.807,2018
Canada,10 Jun 2018,Sebastian Vettel,FERRARI,68,1:28:31.377,2018
France,24 Jun 2018,Lewis Hamilton,MERCEDES,53,1:30:11.385,2018
Austria,01 Jul 2018,Max Verstappen,RED BULL RACING TAG HEUER,71,1:21:56.024,2018
Great Britain,08 Jul 2018,Sebastian Vettel,FERRARI,52,1:27:29.784,2018
Germany,22 Jul 2018,Lewis Hamilton,MERCEDES,67,1:32:29.845,2018
Hungary,29 Jul 2018,Lewis Hamilton,MERCEDES,70,1:37:16.427,2018
Belgium,26 Aug 2018,Sebastian Vettel,FERRARI,44,1:23:34.476,2018
Italy,02 Sep 2018,Lewis Hamilton,MERCEDES,53,1:16:54.484,2018
Singapore,16 Sep 2018,Lewis Hamilton,MERCEDES,61,1:51:11.611,2018
Russia,30 Sep 2018,Lewis Hamilton,MERCEDES,53,1:27:25.181,2018
Japan,07 Oct 2018,Lewis Hamilton,MERCEDES,53,1:27:17.062,2018
United States,21 Oct 2018,Kimi Räikkönen,FERRARI,56,1:34:18.643,2018
Mexico,28 Oct 2018,Max Verstappen,RED BULL RACING TAG HEUER,71,1:38:28.851,2018
Brazil,11 Nov 2018,Lewis Hamilton,MERCEDES,71,1:27:09.066,2018
Abu Dhabi,25 Nov 2018,Lewis Hamilton,MERCEDES,55,1:39:40.382,2018
Australia,17 Mar 2019,Valtteri Bottas,MERCEDES,58,1:25:27.325,2019
Bahrain,31 Mar 2019,Lewis Hamilton,MERCEDES,57,1:34:21.295,2019
China,14 Apr 2019,Lewis Hamilton,MERCEDES,56,1:32:06.350,2019
Azerbaijan,28 Apr 2019,Valtteri Bottas,MERCEDES,51,1:31:52.942,2019
Spain,12 May 2019,Lewis Hamilton,MERCEDES,66,1:35:50.443,2019
Monaco,26 May 2019,Lewis Hamilton,MERCEDES,78,1:43:28.437,2019
Canada,09 Jun 2019,Lewis Hamilton,MERCEDES,70,1:29:07.084,2019
France,23 Jun 2019,Lewis Hamilton,MERCEDES,53,1:24:31.198,2019
Austria,30 Jun 2019,Max Verstappen,RED BULL RACING HONDA,71,1:22:01.822,2019
Great Britain,14 Jul 2019,Lewis Hamilton,MERCEDES,52,1:21:08.452,2019
Germany,28 Jul 2019,Max Verstappen,RED BULL RACING HONDA,64,1:44:31.275,2019
Hungary,04 Aug 2019,Lewis Hamilton,MERCEDES,70,1:35:03.796,2019
Belgium,01 Sep 2019,Charles Leclerc,FERRARI,44,1:23:45.710,2019
Italy,08 Sep 2019,Charles Leclerc,FERRARI,53,1:15:26.665,2019
Singapore,22 Sep 2019,Sebastian Vettel,FERRARI,61,1:58:33.667,2019
Russia,29 Sep 2019,Lewis Hamilton,MERCEDES,53,1:33:38.992,2019
Japan,13 Oct 2019,Valtteri Bottas,MERCEDES,52,1:21:46.755,2019
Mexico,27 Oct 2019,Lewis Hamilton,MERCEDES,71,1:36:48.904,2019
United States,03 Nov 2019,Valtteri Bottas,MERCEDES,56,1:33:55.653,2019
Brazil,17 Nov 2019,Max Verstappen,RED BULL RACING HONDA,71,1:33:14.678,2019
Abu Dhabi,01 Dec 2019,Lewis Hamilton,MERCEDES,55,1:34:05.715,2019
Austria,05 Jul 2020,Valtteri Bottas,MERCEDES,71,1:30:55.739,2020
Styria,12 Jul 2020,Lewis Hamilton,MERCEDES,71,1:22:50.683,2020
Hungary,19 Jul 2020,Lewis Hamilton,MERCEDES,70,1:36:12.473,2020
Great Britain,02 Aug 2020,Lewis Hamilton,MERCEDES,52,1:28:01.283,2020
70th Anniversary,09 Aug 2020,Max Verstappen,RED BULL RACING HONDA,52,1:19:41.993,2020
Spain,16 Aug 2020,Lewis Hamilton,MERCEDES,66,1:31:45.279,2020
Belgium,30 Aug 2020,Lewis Hamilton,MERCEDES,44,1:24:08.761,2020
Italy,06 Sep 2020,Pierre Gasly,ALPHATAURI HONDA,53,1:47:06.056,2020
Tuscany,13 Sep 2020,Lewis Hamilton,MERCEDES,59,2:19:35.060,2020
Russia,27 Sep 2020,Valtteri Bottas,MERCEDES,53,1:34:00.364,2020
Eifel,11 Oct 2020,Lewis Hamilton,MERCEDES,60,1:35:49.641,2020
Portugal,25 Oct 2020,Lewis Hamilton,MERCEDES,66,1:29:56.828,2020
Emilia Romagna,01 Nov 2020,Lewis Hamilton,MERCEDES,63,1:28:32.430,2020
Turkey,15 Nov 2020,Lewis Hamilton,MERCEDES,58,1:42:19.313,2020
Bahrain,29 Nov 2020,Lewis Hamilton,MERCEDES,57,2:59:47.515,2020
Sakhir,06 Dec 2020,Sergio Perez,RACING POINT BWT MERCEDES,87,1:31:15.114,2020
Abu Dhabi,13 Dec 2020,Max Verstappen,RED BULL RACING HONDA,55,1:36:28.645,2020
Bahrain,28 Mar 2021,Lewis Hamilton,MERCEDES,56,1:32:03.897,2021
Emilia Romagna,18 Apr 2021,Max Verstappen,RED BULL RACING HONDA,63,2:02:34.598,2021
Portugal,02 May 2021,Lewis Hamilton,MERCEDES,66,1:34:31.421,2021
Spain,09 May 2021,Lewis Hamilton,MERCEDES,66,1:33:07.680,2021
Monaco,23 May 2021,Max Verstappen,RED BULL RACING HONDA,78,1:38:56.820,2021
Azerbaijan,06 Jun 2021,Sergio Perez,RED BULL RACING HONDA,51,2:13:36.410,2021
France,20 Jun 2021,Max Verstappen,RED BULL RACING HONDA,53,1:27:25.770,2021
Styria,27 Jun 2021,Max Verstappen,RED BULL RACING HONDA,71,1:22:18.925,2021
Austria,04 Jul 2021,Max Verstappen,RED BULL RACING HONDA,71,1:23:54.543,2021
Great Britain,18 Jul 2021,Lewis Hamilton,MERCEDES,52,1:58:23.284,2021
Hungary,01 Aug 2021,Esteban Ocon,ALPINE RENAULT,70,2:04:43.199,2021
Belgium,29 Aug 2021,Max Verstappen,RED BULL RACING HONDA,1,0:03:27.071,2021
Netherlands,05 Sep 2021,Max Verstappen,RED BULL RACING HONDA,72,1:30:05.395,2021
Italy,12 Sep 2021,Daniel Ricciardo,MCLAREN MERCEDES,53,1:21:54.365,2021
Russia,26 Sep 2021,Lewis Hamilton,MERCEDES,53,1:30:41.001,2021
Turkey,10 Oct 2021,Valtteri Bottas,MERCEDES,58,1:31:04.103,2021
United States,24 Oct 2021,Max Verstappen,RED BULL RACING HONDA,56,1:34:36.552,2021
Mexico,07 Nov 2021,Max Verstappen,RED BULL RACING HONDA,71,1:38:39.086,2021
Brazil,14 Nov 2021,Lewis Hamilton,MERCEDES,71,1:32:22.851,2021
Qatar,21 Nov 2021,Lewis Hamilton,MERCEDES,57,1:24:28.471,2021
Saudi Arabia,05 Dec 2021,Lewis Hamilton,MERCEDES,50,2:06:15.118,2021
Abu Dhabi,12 Dec 2021,Max Verstappen,RED BULL RACING HONDA,58,1:30:17.345,2021
Bahrain,20 Mar 2022,Charles Leclerc,FERRARI,57,1:37:33.584,2022
Saudi Arabia,27 Mar 2022,Max Verstappen,RED BULL RACING RBPT,50,1:24:19.293,2022
Australia,10 Apr 2022,Charles Leclerc,FERRARI,58,1:27:46.548,2022
Emilia Romagna,24 Apr 2022,Max Verstappen,RED BULL RACING RBPT,63,1:32:07.986,2022
Miami,08 May 2022,Max Verstappen,RED BULL RACING RBPT,57,1:34:24.258,2022
Spain,22 May 2022,Max Verstappen,RED BULL RACING RBPT,66,1:37:20.475,2022
Monaco,29 May 2022,Sergio Perez,RED BULL RACING RBPT,64,1:56:30.265,2022
Azerbaijan,12 Jun 2022,Max Verstappen,RED BULL RACING RBPT,51,1:34:05.941,2022
Canada,19 Jun 2022,Max Verstappen,RED BULL RACING RBPT,70,1:36:21.757,2022
Great Britain,03 Jul 2022,Carlos Sainz,FERRARI,52,2:17:50.311,2022
Austria,10 Jul 2022,Charles Leclerc,FERRARI,71,1:24:24.312,2022
France,24 Jul 2022,Max Verstappen,RED BULL RACING RBPT,53,1:30:02.112,2022
Hungary,31 Jul 2022,Max Verstappen,RED BULL RACING RBPT,70,1:39:35.912,2022
Belgium,28 Aug 2022,Max Verstappen,RED BULL RACING RBPT,44,1:25:52.894,2022
Netherlands,04 Sep 2022,Max Verstappen,RED BULL RACING RBPT,72,1:36:42.773,2022
Italy,11 Sep 2022,Max Verstappen,RED BULL RACING RBPT,53,1:20:27.511,2022
Singapore,02 Oct 2022,Sergio Perez,RED BULL RACING RBPT,59,2:02:20.238,2022
Japan,09 Oct 2022,Max Verstappen,RED BULL RACING RBPT,28,3:01:44.004,2022
United States,23 Oct 2022,Max Verstappen,RED BULL RACING RBPT,56,1:42:11.687,2022
Mexico,30 Oct 2022,Max Verstappen,RED BULL RACING RBPT,71,1:38:36.729,2022
Brazil,13 Nov 2022,George Russell,MERCEDES,71,1:38:34.044,2022
Abu Dhabi,20 Nov 2022,Max Verstappen,RED BULL RACING RBPT,58,1:27:45.914,2022
